file_prefix,panelist_name1,panelist_name2,panelist_name3,panelist_name4,panelist_name5,panelist_name6,panelist_name7,panelist_name8,palestinian_count,mena_count,w_count,bipoc_count,dod_dhs_count,gop_count,dem_count,nys_dem_count,TOTAL PANELISTS,PROP WHITE
12/5/2024,Theresa Bourgeois,Ira Fusfeld,Vera Eccarius-Kelly,,,,,,0,0,3,0,0,0,1,1,3,100%
12/6/2024,Jim Hendler,Aaron Pacitti,Judy Patrick ,Rosa Alfano,Jackson Cayward,Matthew Connor,Kyah Gigliotti,,0,0,6,0,1,0,1,1,6,100%
12/9/2024,Frederic Hof,Jim Ketterer,Libby Post,,,,,,0,0,2,0,1,0,2,2,2,100%
12/10/2024,Fran Berman,JP Miller,Mike Spain,,,,,,0,0,3,0,0,1,0,0,3,100%
12/11/2024,Robert Griffin,Anna Markowitz,Nic Rangel,Sarah Rogerson,,,,,0,0,3,1,1,0,2,2,4,75%
12/12/2024,Malia Du Mont,March Gallagher,Judy Patrick,,,,,,0,0,2,0,0,0,1,1,2,100%
12/13/2024,Bill Hammond,Jay Jochnowitz,Heather Mulligan,Mark Wittman,,,,,0,0,4,0,0,0,1,1,4,100%
12/16/2024,Paul Burgdorf,Frederic Hof,Jim Ketterer,Libby Post,,,,,0,0,4,0,2,1,2,2,4,100%
12/17/2024,Bob Bellafiore,Malia Du Mont,Jay Jochnowitz,JP Miller,,,,,0,0,4,0,1,1,2,2,4,100%
12/18/2024,Laurel Elder,Robert Griffin,Anna Markowitz,Sarah Rogerson,,,,,0,0,3,0,1,0,1,1,3,100%
12/19/2024,Ira Fusfeld,Terry Gipson,Judy Patrick,,,,,,0,0,3,0,0,0,1,1,3,100%
12/20/2024,Theresa Bourgeois,Aaron Pacitti,Nic Rangel,Kathy Sheehan,,,,,0,0,3,1,0,0,3,3,4,75%
12/23/2024,Malia Du Mont,Jim Ketterer,Libby Post,Karin Riedl,,,,,0,0,4,0,2,0,3,3,4,100%
12/26/2024,Terry Gipson,Heather Mulligan,,,,,,,0,0,2,0,0,0,2,2,2,100%
12/27/2024,Theresa Bourgeois,March Gallagher,Jim Hendler,,,,,,0,0,3,0,1,0,3,3,3,100%
12/30/2024,Theresa Bourgeois,Jim Ketterer,Libby Post,Mark Wittman,,,,,0,0,4,0,1,0,3,3,4,100%
12/31/2024,Cianna Freeman-Tolbert,Jim Hendler,Mike Spain,,,,,,0,0,2,1,1,0,1,1,3,67%
1/2/2025,Theresa Bourgeois,Ira Fusfeld,Judy Patrick,,,,,,0,0,3,0,0,0,1,1,3,100%
1/3/2025,Judith Enck,Heather Mulligan,Mark Wittman,,,,,,0,0,3,0,0,0,2,2,3,100%
1/6/2025,Judith Enck,Vera Eccarius-Kelly,Elizabeth Kolbert,,,,,,0,0,3,0,0,0,1,1,3,100%
1/7/2025,Doreen Harris,Theresa Bourgeois,Jeff Goodell,,,,,,0,0,3,0,0,0,2,2,3,100%
1/8/2025,Frederic Hof,Jay Jochnowitz,Heather Mulligan,,,,,,0,0,3,0,1,0,1,1,3,100%
1/9/2025,Judy Patrick,Libby Post,,,,,,,0,0,2,0,0,0,1,1,2,100%
1/10/2025,Nic Rangel,Sarah Rogerson,Nilanjana Dasgupta,,,,,,0,0,1,2,0,0,1,1,3,33%
1/13/2025,Theresa Bourgeois,Bill Hammond,Joanne Kenen,Julie Rovner,,,,,0,0,4,0,0,0,1,1,4,100%
1/14/2025,Paul Burgdorf,Malia Du Mont,Rich Honen,,,,,,0,0,3,0,1,1,1,1,3,100%
1/15/2025,Frederic Hof,Judy Patrick,Kathy Sheehan,Mark Wittman,,,,,0,0,4,0,1,0,1,1,4,100%
1/16/2025,Jim Ketterer,Aaron Pacitti,Libby Post,,,,,,0,0,3,0,1,0,2,2,3,100%
1/17/2025,Vera Eccarius-Kelly,Jay Jochnowitz,March Gallagher,,,,,,0,0,3,0,0,0,1,1,3,100%
1/21/2025,Theresa Bourgeois,John Faso,Marc Molinaro,Judy Patrick,Mark Wittman,,,,0,0,5,0,0,2,1,1,5,100%
1/22/2025,Bob Bellafiore,Theresa Bourgeois,Jim Ketterer,Judy Patrick,,,,,0,0,4,0,1,0,3,3,4,100%
1/23/2025,Bill Hammond,Nic Rangel,Mike Spain,,,,,,0,0,2,1,0,0,1,1,3,67%
1/24/2025,Judith Enck,Jim Hendler,Heather Mulligan,,,,,,0,0,3,0,1,0,3,3,3,100%
,,,,,,,,TOTALS,0,0,194,15,32,9,95,95,209,
